Feedback,professor
정말 학생들 한명한명을 독립된 인격체로대해주시는 느낌! 진짜 배려많이해주시고 수업도 편해요ㅎㅎㅎㅎ중간기말은 논어구절해석문제,김세종
 자기생각논술한문제 나오는데 중간은개쉬워서 제생각엔 20만점에 중위값이 18.5는 됐을듯..화이부동 이런거나왔어요ㅋㅋ그래서그런지 기말은 약간,김세종
정말약간,김세종
어려운 문제 나왔어요! 진짜추천합니다 어차피 졸업하려면 논어들어야하는데 이 교수님거 들으세요!,김세종
학점도 잘채워주시고 초임교수라서 그러신지는모르겠지만 학생들의 마음을 정말 잘 배려해주시고 헤아려주십니다.,김세종
학생들을 너무나 배려해주시고... 존중해주시는 교수님입니다,김세종
학점은 무조건 플채워 주시고 과제는 중간에 글쓰기에세이 하나 있는데 그마저도 영화를 보고 감상문 쓰는것으로 대체하였습니다,김세종
그리고 전 학생을 대상으로 2달에 한번씩 발표가 있는데 논어구절을 토대로 자신이 생활속에서 느꼈던 경험이나 느낀점을 솔직하게 말하면 됩니다,김세종
복학 후 들었던 수업들 중 단연 최고라 꼽을 수 있을만한 수업입니다.,김세종
"교수님 괜찮고 그런데  초반에 태도점수 없다고 했는데 후반엔 평가하겠다고 말바꾸시는데 좀 그랬네요. 점수 폭 차도 거의 좁아서 출석 중요해요,",김세종
초임교수여서 조금 미숙한 점이 있었지만 학생을 위해서 언제나 애쓰시는 모습이 좋았습니다.,김세종
학점 잘주십니다,김세종
교수님이 진짜 착하시다 대학생활 3년 중에 이렇게 착하신 교수님은 본적이없다,안승우
정말 싫은 소리 하나도 안하시고 최고중에 최고인 교수님,안승우
2학년 1학기때 수강하긴했지만 겪어봤던 교수님 중에 누구보다 착하시고 누구보다 학생을 위한 마음이 크신 분이였습니다,안승우
대학교 교수님 보단 고등학교 선생님처럼 학생을 위한 수업을 하시는 교수님계의 교수님 같습니다,안승우
논어를 들어야 하시는 분이 계시다면 이 분 수업을 꼭꼭꼭 들으시길...,안승우
학기가 끝나는게 아쉬웠다고 생각이 든 교수님이었습니다,안승우
"교수님 ㅡ착하시고 학생들을 최대한 배려해서 싫은소리 안하신다. 근데 이걸 역이용해서 뒤에서 자거나, 다른 과목 과제 자주 하던데. . . 머 이것도 누군가들에겐 장점이라면 장점이겠지만 자제하자",안승우
과제ㅡ중간에 에세이 쓰면 되는데 거창한거 보단 본인의 경험과 접목하는걸 강조하셨다,안승우
"팀플ㅡ인의예지. 중 하나 선정해서 관련된 사업이나 봉사단체나 시스템 개발,어플, 제품 등등 기획 하기인데 4차산업혁명과 관련된거",안승우
"어플, VR, 로봇, 인공지능 등등",안승우
로 논어 엮으면 좋아하신다. 그리고 발표 후 Q,안승우
amp,안승우
A때 매번 질문하는게 좋다,안승우
"시험ㅡ중간기말 두번, 걍 피피티 암기인데 어떤 사자성어나 공자나 맹자 등등의 어떤 일화가 담고있는 논어의 사상도 같이 알자",안승우
출첵ㅡ매번 부르신다 위에서 말한 교수님의 착한심성을 간파해 출튀하는 사람들도 많은데 중간에 다시 또 부르신적 있다 다들 탈탈 깎였었다,안승우
진짜 착하시다. 수업은 사실 재미없어서 잘 안들었지만 너무 착하셔서 계속 마음이 불편하고 죄송했다. 배우는 내용은 그냥 책 내용 그대로 배운다.,안승우
시험은 아캠에 올려주시는 ppt에서 전부 나온다. 시험 하루전에 글자하나하나 통째로 외우면 다 맞는다. 자기 의견 물어보는 서술형도 있는데 그거는 그냥 성의껏 잘 쓰면 된다.,안승우
팀플은 인의예지 중 하나 골라서 그 주제로 사업 아이템 같은거를 구상해서 발표하는 거였는데 부담없이 할 수 있다.,안승우
과제는 평천하에 대한 에세이 쓰기였는데 하루 날 잡고 쓰면된다.,안승우
사실 수업내용도 기억에 남지만 그것보다도 교수님의 성품과 행동에 논어의 가르침이 녹아있는 것 같다.,안승우
다른 논어 수업 광탈하고 시간 맞는 수업이여서 그냥 들었는데 매우 좋았음. 과제도 개인과제 1개 팀플 한 번 있는데 팀플 부담 없음.,안승우
중간 기말 출첵 잘 하면 학점 잘 주시는 듯.,안승우
마지막 수업 날 초코파이도 나눠주시고 드립이 재미없지만 수업 재밌게 하려고 노력하시는 엄청 좋은 교수님임.,안승우
조원들 학점 보면 비율 꽉 채워주시는 거 같음.,안승우
이번학기에 논어를 들으려고 봤는데 적당한 시간대가 이분 수업밖에 없어서 들었다. 결론부터 말하자면 좋았다. ,안승우
" 성균논어 자체가 우리 성대생이 꼭 들어야 하는 수업이라고 생각한다. 우리가 살아가면서 지켜야 할 도리들, 인생의 진리들이 모두 유학에 담겨있다. 안승우 교수님의 수업을 들으면서 이 점을 확실히 느꼈다. ",안승우
 솔직히 이분 수업이 아니었어도 스스로 공부하면서 느끼지 않았을까 하는 생각도 있지만 아무튼간 꼭 들어보길 바람. ,안승우
 논어 강의를 처음 하는 분이라 강평이 하나도 없는 게 좀 불안했지만 일단 교수님 매우 착하시고 ,안승우
드립은 노잼이긴 하지만,안승우
 수업도 듣는사람 거의 없지만 집중해서 들으면 얻어갈 것 많다. 학문적으로가 아니라 인간적으로. 논어가 그런 수업이다. 인간으로서 수업 꼭 듣자 얘들아. ,안승우
 팀플이 한번 있다. 그러나 별로 부담스럽지 않다. 어떤조는 한번도 직접 만나지 않고 모두 단톡에서만 해결했다더라. ,안승우
 학점은 초임강사 종특은 어쩔수없는지 그닥 좋게 주진 않으셨다. 그래도 초임치곤 그나마 잘준듯. 어쨌든 난 추천한다.,안승우
참고로 교수님 여자임,안승우
수업도 좋고 시험도 어렵지 않아서 좋음.  단지 조별과제가 처음 시작할때 난해함,안승우
논어계의 천사가 있다면 바로 안승우 교수님. 과제는 논어 에세이와 조별과제가 있습니다. 중간고사 기말고사 잘 보면 학점 잘 주시는 것 같습니다. 수업이 지루하지 않고 강의력이 좋으십니다. 책 없이 피피티로만 공부해도 됩니다. 시험도 나올 것 같은 것만 나옵니다. 조별과제에는 크게 부담느끼시지 않아도 됩니다. 교수님께서 강의하실 때 열정적이셔서 좋았습니다.  왜 고민하나요? 안승우 교수님이 계신데,안승우
논어에 대해 실생활과 관련해 예시를 많이 들어주시고 수업도 열심히 하시고 집중해서 들으면 얻어가는게 많다. 시험도 쉽다. 과제도 별로 없다.,안승우
좋고 편안한 교수님입니다. 알아서 어느정도 하면 좋은 성적 받으실 수 있을 겁니다,김종석
학생의 편의를 많이 봐주시는 교수님이세요 과제는 에세이 하나 내는 거였고 팀플도 기말쯤에 한번 있긴하지만 그렇게 부담이 되는 편은 아니에요 시험도 요약본 올려주셔서 하루전에 읽고 조금 외웠더니 점수 잘나왔어요 완전 추천합니당,김종석
"비록 제가 과제 제출일을 착각해서 늦게내고 기말고사를 던져서 학점은 비쁠이지만 굉장히  편한 수업인건 분명합니다. 팀플도 부담이 없고 과제도 글 하나 내면 되고, 프린트에 요약해주셔서 공부하기도 편해요.",김종석
교수님이 정말 착하셔요! 수업은 거의 항상 꽉 채워서 하시긴 해요.,김종석
과제는 글쓰기 하나랑 팀플 하나랑 있어요.,김종석
시험은 중간때는 주관식과 서술형이었는데  기말때는 서술형뿐.,김종석
사실 교안이 주어져서 그것만 봐도 돼요.,김종석
교안에서는 용어 및 한자성어 위주로 보세요.,김종석
그냥 무난한 논어수업인듯 교수님은 좋으심 시험은 교안 다 외우면됨,김종석
수업은 지루하긴하지만 시험은 논술형이라서 부담없고 교수님께서 착하시고 좋아요 조프로젝트도 그렇게 많이 부담되지 않습니다  학점도 쁠 잘달아주시는것 같아요 좋아요,김종석
제가 수업을 잘 안들어서 뭐라고 못하겠지만 주변을 보니까 교수님이 학점을 잘 받을만한 사람은 잘 주시는거같아요,김종석
인의예지에 관해서 빌표하는 팀플 한번 있고요 시험은 프린트만 전부 외우면 무난하게 풀 수 있어요 열심히만.하면 a,김종석
는 무난한 것 같아요,김종석
교수님은 진짜 천사입니다 핵착하고 핵좋아요 시험기간에 피피티 올려주시면 책한번읽고 피피티 보고 중간기말 시험보면되요 교수님이 막 외우고 세세한거 내는거 별로 안좋아하시는 것 같숩니다 서술형으로 크게크게 내요 팀플은 체험하는거 있는데 체험에 의의를 두고 피피티만들어서 발표하면 되요 이것도 크게 변별력이 있진 않아보여요 교수님이 플도 다채워주시고 착하고 완전 그냥 천사임 논어들을사람 꼭들으세오진짜,김종석
저는 중간고사 때 평균보다 1점? 정도 높았고 팀플 열심히하고 기말 서술형 거의 끝까지 남아서 썼구요. 에이쁠 나왔습니당,김종석
 수업 자체가 부담이 있는 수업은 아니구 시험 전에 올려주시는 요약본 몇번 훑어보고 시험치면 학점 잘 나옵니당,김종석
 저는 명륜인데 명륜에서 오신분들이 꽤 많더라구요. 팀플하면서 율전 분들이랑도 친해지고 좋았던 것 같아요,김종석
추천합니다,김종석
예상한 것보다 학점이 잘 나온 수업이에요. 중간 때 평균 조금 넘었었는데 팀플 열심히하고 기말 때 서술형 혼신의 힘을 다해서 썼더니 에이쁠 나오네요. 교수님이 학점 비율 잘 채워주셔셔 그런거같아요. 자과캠수업인데 명륜사람 많아요. 그치만 명륜이라고 잘나오는건 아닌듯요,김종석
 수업은 조금 지루하지만 교수님이 학생들 생각하면서 애써주시는게 너무 느껴져요. 김종석교수님은 사랑입니다.,김종석
시험: 중간은 주관식단답,김종석
서술형 으로 진행되었고 기말은 서술형4문제로 진행되었어요! 시험2주정도전에 요약집올려주시는데 그것만 제대로 보면 에이쁠입니다!!! 책을 한번쯤 가볍게 읽는것도 좋을거같긴해용,김종석
과제: 중간고사쯤에 에세이쓰는 과제가 있었구요 조별과제가 하나있습니다. 조짜는건 교수님께서 해주시구 인의예지 중 하나를 주제로 주십니다 8인1조로 진행되는데 직접체험해보는걸 중시하세요! 일정수준만해도 감점은 없는듯합니당,김종석
학점: 쁠다채워주시는교수님으로 유명하세요!!,김종석
개인적으로 김종석교수님 논어 굉장히 추천합니다,김종석
"우선 이번학기 기준으로 팀플 1회와 과제 1개, 중간",김종석
"기말 로 구성되었습니다. 과제는 거의 모든 논어 분반 공통과제고, 제출만 하면 감점은 없는 것 같아요. 팀플과제가 60명을 8조로 나누다 보니 인원이 좀 많습니다ㅠ 그리고 체험을 요구하기 때문에 살짝 까다롭긴 해요.. 그런데 참여만 하면 역시 감점은 없는 것 같아요. 즉 제일 중요한건 두 번의 시험인데  김종석 교수님은 시험 1",김종석
2주전에 교안의 핵심내용을 정리해서 아캠에 올려주셔요. 한 10페이지 내외 분량인데 그것만 달달 외운 뒤 잘 응용하여 쓰면 됩니다! 외울 때는 키워드 위주로만 외우면 되서 시험 준비도 오래 안걸려요,김종석
 1시 시험이라 시험당일 새벽에 일어나서 외웠는데도 다 외웠어요. 단 시험 성적은 비교적 따닥따닥 붙어있어서 실수하면 위험해 보이긴 하는데.. 국어 짱 못하는 율전러가 명륜사람들의 침공에도 불구하고 A,김종석
을 받은 걸 보니 할 만한 과목이라 생각해요 ㅠㅠ 갓종석 교수님 진짜 사랑합니다,김종석
수업관련해서는.. 말 하시는게 조금 느긋느긋하셔서 수업이 지루하게 느껴질 수도 있는데 교수님이 그럴 때 마다 간간히 영상자료도 보여주셔서 정말 재밌게 수업을 들었습니다. 다들 김종석 교수님 수강성공하시고 행복하게 2학점 채워가세요!!!,김종석
외쳐 갓종석....수업시간에 그냥 정말 앉아서 세미나 온 것처럼 듣기만 하고 웃고 간 기억뿐인데 중간기말 5시간씩 공부한 내게 에이쁠을 주신 교수님은 갓갓갓 이수업으로 120학점을 채우지 못한 것이 못내 아쉬울 뿐이다.,김종석
중간에서 평균보다 낮은 점수였지만 기말에서 썰풀이를 최후의 5인까지 남아서 했더니 에이쁠이 뜨는것이어따....사랑합니다 갓종석,김종석
요약:기말 논술이중요,김종석
교수님도좋으시고학점도잘나옵니다.,김종석
강추,김종석
교수님 성격도 좋으시고 다 좋음...,김종석
시험준비하라고 자료 올려주신거 외운다고 외웠으나 성적은.....ㅎㅎㅎ,김종석
그냥 논어라는 과목자체가 나와 맞지 않는 과목이라 생각하련다... ,김종석
재수강은 생각도 안한다!,김종석
2016년 여름계절학기 수강함. 교수님 되게 좋으시고 학생들을 정말 많이 생각해주세요. 성적도 플러스 꽉 채워주신다고 하심.. 학점은 시험으로 갈립니다. 중요 키워드 위주로 암기하세요,김종석
다 필요없다. 계절은 닥치고 갓 종 석 ,김종석
갓,김종석
종,김종석
석,김종석
갓,김종석
무난한 논어수업.,김종석
과제 1번 팀플1번  시험2번으로 되어있다.,김종석
수업은 조금 지루하다. 피피티기반으로 나긋나긋 말씀하셔서 루즈해진다. 교수님이 요약본을 시험2주전에 올려주시는데 거기에서 시험이  다나온다. 그것만 달달외우면  됨.,김종석
다른 논어에 비해 부담 없는듯. 시험도 요약본 나눠주시는거 달달 외우면 끝,김종석
교수님 너무 착하심.,김종석
시험도 요약본 올려주셔서 개꿀..,김종석
교수님 사람이 너무 좋으심ㅠㅠ,김종석
9시 수업이었는데 학생들 배려해주셔서 30분까지 기다려주심ㅠㅠ,김종석
한 번씩 하는 팀플 발표,김종석
토론도 교수님이 토론 질문을 다 정해주셔서 전혀 부담 안 됨. 점수에 크게 반영하지 않으신 듯.,김종석
에세이 과제도 점수 반영을 별로 안 하시는 것 같고.,김종석
시험은 간단한 주관식,김종석
"마지막은 서술형이었고, 주관식은 주로 많이 나오는 개념이나 사자성어임. 서술형도 쉬워서 생각나는 대로 열심히 쓰면 됨.",김종석
"어떤 교수님은 한자도 외우라 하는데, 김종석 교수님은 절대 구런 거 없음. 근데 서술형 답안에 한자를 섞어서 쓰면 점수를 잘 주시는 듯?",김종석
교수님은 무척 좋으십니다. 딱히 수강하는데 과제가 많다거나  부담이 많이 되는 수업은 아닙니다. 시험도 그렇게 어렵지 않구요. 근데 다만 수업 자체가 좀 재미가 있는건 아닙니다...,김종석
핵추천!,김종석
논어 교수님은 무조건 김종석교수님꺼 들어야함,김종석
"조과제 한번, 에세이 한번 중간 기말 끝",김종석
시험도 단답형이랑 논술형 한문제 나오는데 중요한건 요약집을 따로 올려주심,김종석
책 필요없고 요약만 외우면 시험 끝남 ㅋㅋ 핵추천,김종석
교수님 짱짱 좋으심,김종석
조별과제가 8인 1조로 했는데 좀 운영되기 힘듬,김종석
과제는 논어 에세이 쓰는거 연계로 하나 있음,김종석
시험은 단답형이랑 주관식 주시고 자기 생각 간단하게 쓰는거 나옴 막 외우는걸 무의미하게 생각하시기에 미친듯이 외우는 그런 문제는 없음,김종석
교수님 강의력은 보통? 그래도 난 재밌게 들음,김종석
교수님 정말 좋으심ㄹㅇ,김종석
이 정보를 확인하기 위해 포인트를 사용하시겠습,김종석
딱딱하지 않은 수업으로 논어를 쉽게 풀이해주셔서 좋았습니다. 시험은 오픈 노트북으로 수업 내 필기는 자유롭게 볼 수 있습니다.,한성구
"강의 재밌습니다. 위트있으시고 강의는 체계적이기보다는 이야기를 해주시는 것처럼 진행됩니다. 필기를 좀 잘하셔야해요 그렇지만 오픈노트이고, 많은 인문학적 지식 얻을 수 있어요 추천합니다",한성구
팀플 없고 레포트 하나가 있고  시험은  그동안 썼던 필기노트를 보고 쓰는 형식으로 이루어졌는데 앞으로는 어떻게 볼 지는.. ,한성구
교수님은 젠틀하시고 강의력도  괜찮으셔서 저는 꿀강인 것 같아요!,한성구
그냥저냥 괜찮습니다 강의는 약간 의식의 흐름이라고 느껴졌지만 어떻게 강의가 끝나면 내용은 연결되어있습니다. 신기해요. 과제를 열심히 합시다,한성구
과제는 가벼운 레포트 하나 밖에 없고 팀플발표도 없어요 교수님 강의력도 좋고  재밌습니다  필기는 놓치지말고 다 받아적으시는게 점수따기 좋아요,한성구
중간기말오픈북으로 진행되고 팀플 없습니다!,한성구
강의력도 좋으세요!,한성구
논어 중에  최고 꿀강  중간기말 오픈노트 시험이었고 발표도 없고 팀플도 없고 레포트 하나만 쓰면 끝!  수업도 딱딱하지 않게 재밌게 해주시고 난 사실 레포트도  반도 못쓴거 냈는데 쁠까지 달아주심 강추,한성구
음...별로였음 성적도짜고 그닥 그래도 낫배드,한성구
꿀강  ,한성구
 시험,한성구
오픈북,한성구
", 노팀플 끝 필기 열심히하시면 충분합니다. 다만 성적은 알려 주시지 않으니 유의하세요",한성구
진짜 성균논어로서  추천합니다,한성구
 ,한성구
"오픈북을 계속하실지는 모르겠지만 저흰 중간,기말 오픈북이었습니다!  과제도 유교가 없었더라면으로 하나밖에 없구, 조별 팀플 발표 다 없습니다",한성구
 ,한성구
수업 잘듣고 피피티 사진 찍고 출석만 다 하신다면 성적 잘 받으실 수 있습니다,한성구
과제 시험 이런 것이 꿀인걸 떠나서 그동안 한 학기 교양수업을 통해서 이 수업처럼 많은 지식을 얻은  적은 없었던 것 같네요. 정말 최고의 명강의입니다.,한성구
꿀 of 꿀!,한성구
필기,한성구
ppt 정리한 노트로 오픈북 시험! 중간 기말 모두 오픈북!,한성구
과제는 단 1번! 기간도 무지 길다! 팀플 그런거 전혀 없다! 전혀!!,한성구
유일한 단점은  성적에 대한 갈피를 잡을 수 없다는 점,한성구
논어 중에는 꿀강이라고 이야기 할 수 있을 것 같아요! 팀플 발표 없고 교수님께서 교양으로 학생들한테 부담주고 싶어하지 않으셔서 시험도 필기 오픈북이고 공부할 것도 별로 없어요! 수업 들으면서 필기 열심히 하고 시험 전에 한두번 읽어보면 충분합니다,한성구
 시험문제는 올 서술형인데 중요하다고 생각하는 부분에서 내고 그다지 어렵지도 않았습니다! 학점도 잘 주시는 편인 것 같아요! 교수님도 너무 좋으신 분이셔서 부담없는 논어 듣고 싶으시면 추천합니다!,한성구
논어 중에서는 진짜 꿀인 것 같아요. 팀플도 없고 과제 4,한성구
5페이지 에세이 하나에 시험 2번인데 다 오픈북ㅋㅋ 단 평소 수업시간에 열심히 필기를 하고 ppt 사진을 찍어놔야해요. 따로 자료를 주시지는 않습니다. ,한성구
아쉬운 점은 음... 한 학기동안 뭘 배웠는지 모르겠다는 점?ㅋㅋ 분명 교수님께서 박학다식하신 건 알겠는데... 1학년 때 들었던 동사입에서 배웠던거에 비해서 그런지 좀 아쉬웠어요. 진짜 그냥 교양이구나,한성구
하는 느낌! 그리고 시험 성적을 아예 안 알려주신다는 점! 그래서 학점 예측이 전혀 안 되서 나올때까지 ㄷㄷ하고 있어야해요...,한성구
그래도 논어 중에 이정도 꿀강은 찾기 힘들 것 같네요ㅋㅋ추천해요ㅋㅋㅋ,한성구
오픈북이고 팀플없고 과제하나여서 논어중엔 좋은괴목인것같아요,한성구
"중간 기말 모두 오픈북이여서 시험치는거는 걱정이 없었는데, 사실 논어라기보다는 인문학 강의??에 더 가까운 느낌이었습니다..! 그래도 아시는 것 많은 것 같고 ",한성구
우리때는,한성구
 오픈북이여서 무난했던 수업 같습니다.,한성구
이 정보를 확인하기 위해 포인트를 사용하시겠습,한성구
이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다. 사용하시겠습니까. 이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다. 사용하시겠습니까. 이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다. 사용하시겠습니까.,한성구
이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다. 사용하시겠습니까. 이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 정보를 확인하기 위해 포인트가 차감됩니다. 사용하시겠습니까. 이,한성구
이 정보를 확인하기 위해 포인트를 사용하시겠습니까. 포인트를 사용하시겠습니까. 이 시험 ,한성구
편해서 생각없이 수업나가다가 시험기간에 광탈함 너무 편해서 난 딴짓해서 망함 열심히 들으면 좋움,김기
개꿀수업입니다... 명상 잘하시면 됩니다! 시험도 한자 필요없고 걍 해석할줄만 알면 됨 ㅎㅎ,김기
개꿀!!!!!!시험도 조금만 외우면 되고 과제도 별거 아님. 걍 학점 퍼주는 교수님. 부담 거의 0,김기
편히 들을 수 있는 수업이에요.,김기
한자 잘 모르는 사람은 시험기간때 힘들어요.물론 전 아니었지만...ㅎㅎ,김기
이번에 새로 생긴  강의라서 걱정이 많았는데  막상 수업 들어보니 이분이 논어중 최고인거 같음. 수업 편하게 듣고 과제 부담도  없고 시험도 전날 잠깐 보면 됨,김기
에세이가 중요한데 에세이를 조져부렸네? 그리고 기말은 다 잘봐서 의미 없으니 에세이 잘쓰세요,서근식
에세이 잘 쓰면 학점 잘나오는거 같다 기말은 개꿀이라 1시간만 공부하면 다 맞음,서근식
조별활동은 그냥 감점만 안 당하면 된다,서근식
중간안봐서 좋아요,서근식
에세이 좀 오래걸리니까 미리해두시고,서근식
토론발표 3번했지만 점수는 그렇게 크게 반영 안되는듯,서근식
기말도 쉬움,서근식
중간고사가 없다는게 정말 좋은것같아요 그리고 기말고사도 몇문제는 알려주시고 범위 좁게 설정해주시기 때문에 그 부분에서 강조하셨던 것만 조금만 보고 가도 잘 볼수있ㅇ 습니다. 사실 저는 수업때 진짜 설렁설렁 했는데 정말 꿀이었어요 별거 한것도 없는데 성적이 잘나와서 놀라웠습니다..!  꿀이에요 추천할게요!,서근식
정말 좋은 수업입니다 교수님도 친절히시고 재밌고 과제나 여타 귀찮은게 없어서 좋아요 팀별 토론은 수업시간에 하는거라 부담없고 잘하면 좋지만 저는 팀 발표 한번도 못하고도 에이쁠 받았어요 학점은 무조건 채워주신다고 첫시간 말씀하셨고 중간고사는 에세이로 대체입니다 기말준비 잘하시고 중간고사 에세이 충실하게 하시면 성적은 잘나와요 들으세요,서근식
교수님 자체는 좋으나 커리큘럼이 조금 대책이없다고 해야하나? 제대로 확실하게 정한 거 없이 그냥 실험적으로 해보는 느낌이 강했음 토론에 자신있다면 좋은 점수 받을 수 있는데 학점 잘따보겠다고 양학오는 명륜사람이랑 전투민족처럼 말도안되는걸로 딴지거는 사람들이 분명 있을것이기에 좀 힘들수도 있음. 시험 난이도나 그런건 상당히 쉬운편에 속하므로 발표 눈딱감고 두세번 하겠다 하면 좋은강의임,서근식
"전체적으로 매우 만족하고 있는 수업입니다. 교수님이 귀여우신 면모가 있으신데 그로인해 수업이 지루하지도 않구요. 중간은 에세이로 시험대체라서 미리 써놓으면 꿀이고요. 기말시험은 논술형이긴 한데  미리 절반 이상 문제 알려주시고 나머지도 수업때 다룬 내용만 내시기 때문에 푸는데는 큰 아려움은 없으실 겁니다. 단 매 수업마다 조별토론을 하고 보고서를 작성하여 발표자를 정하는데 이게 좀 중요합니다. 매수업마다 10조 중에서 3조가량 발표기회를 얻는데, 짧은시간동안 교수님의 이목을 끌 흥미로운 토론 주제를 잘 장해서 발표자로 선정이 자주 되는 조가 에이쁠 가져간다고 보면 됩니다. 그렇다고 조원끼리 미리 만나거나 할것까진 없고,  그저 조원끼리 잘 맞고 잘 지내면 자연스럽게 토론도 잘 진행되는것 같습니다. 단 율전수업이었는데 문과분들 꽤 계시고 또 확실히 이분들이 강세이십니다 ㅜㅜ 같은조되면 꿀이지만 다른조라면 조금 얄미울수도...",서근식
"중간고사는 인성 에세이로 대체되었는데, 크게 부담갖지 말고 쓰면 될듯하다. 매주마다 나오는 과제는 없고, 가끔씩 수업 중에 에세이를 써야한다. 그리고 조모임을 하는데, 수업 시간에 모여서 어떤 주제에 대해 토론을 하고 교수님에게 선택받으면 발표까지 한다. 문과생들이 와서 학살한다. 그래도 토론잘 참여하고 교수님에게 질문 많이하면 따로 점수도 주신다. 기말의 경우 약술형 2개 서술형 4개이다. 이중 4문제정도는 알려주는데 이것도 안푸니 공부 좀만하면 된다. 수업도 재밌고 교수님이 이해를 쉽게 도와줘서 수업이 부담되지 않으니 꼭 듣기를 바람.",서근식
정말 교재를 쉽고 명료하게 설명해주십니다. 중간고사는 인성 에세이로 대체했었고 기말고사는 한문제당 10줄 내외로 답안을 작성하는 논술형으로 출제되었어요. 다른 논어 수업과는 달리 매주 책을 한 강씩  요약해가는 과제가 있는데 적응하면 그렇게 귀찮진 않구요. 덕분에 책을 끝까지 한번 정독할 수 있어서 오히려 좋았던거 같아요. 막판에 간단한 토론을 했는데 이때 참여해서 가산점을 받은 분들이 에이 학점을 받기 수월했던거 같아요.  사실 학점을 매기는 방식이 그렇게 납득이 가진 않았지만,서근식
기말이 변별력이 없어서,서근식
 수업 자체는 유익했고 교수님도 귀여우ㅎㅎ셔서 나름대로 재밌게 들은 수업이었습니다.,서근식
매주 책 한장 분량에 해당하는 것을 a4용지에 자필로 적는 과제 입니다.총 10번을  하는 것인데요 성균논어 팀플이 많은데 이것은 매주 해야하는 번거로운 점도 있지만 팀플 싫어 하시는 분은 좋을 것 같아요.하지만 한번당 2점씩 총 20점인데 여기서도 세세히 깎으신답니다. 중간시험은 인성고전센터에서 공모전 하는 주제로 합니다 20점만점이고요 기말은 4문제 찝어주시는데 평소에 수업 잘 들으시는 것을 추천 드려요 교수님께서 하신 말에 답안쓸 내용이 많이 담겨있거든요! 4문제 10줄 내외작성입니다. 수업계획서에는 없었으나 k mooc보고 토론을 하였는데 여기서 가산점을 주시는것 같아요..성실히 하시고 팀플 선호하지 않으시는 분들께 좋은 강의 인것 같아요 그리고 출석은 9시에 칼같이 부르십니다!,서근식
"중간고사는 에세이 대체고, 기말고사는 교안에서 나옴",서강휘
공부할건 많이없고 학점은 잘채워주시는듯,서강휘
교수님 좋음,서강휘
맹자에대해 잘 알고계신다면 굳! 수업은 하나도 안힘들고 좋았습니다! 교수님도 너무 좋으시고ㅜㅜ,서강휘
살아계신 공자님입니다.,서강휘
만약 이 교수님이 강의를 하신다면 망설이지 마세요. 추천합니다.,서강휘
교수님만 좋으심. 과제도 논어 치고는 꽤 많지만 교수님은 다시 뵙고 싶을만큼 좋음,서강휘
저는 별루였어요.....교수님자체는 매우매우좋으십니다! 인성이 아주 좋으시고 좋은자료도 많이 보여주세요 하지만 전 재수강하러가야하기에..,서강휘
논어를 가르치는 교수님이 신부님이라서 놀랐지만 한학기동안 재밌었던 강의. 처음엔 피피티도 안올려주시고 어떤 방식으로 시험을 출제하고 뭘 가르치시는지 방향을 잘 못잡았지만 나중에 기말고사용 자료 따로 정리해서 올려주셔서 너무 좋았다. 과제를 생각했을 땐 내가 왜 이 학점을 받았는 지 이해는 안가지만 감사합니다 교수님.. 기말고사도 극악의 난이도는 아니라 아주 좋았다,서강휘
성균논어 교수님들 중에 최고인 것 같습니다. 논어에 대한 수업보다는 대학생이 갖춰야할 소양에 대한 수업을 자주 해주십니다. 시험도 한번밖에 없고 학점도 잘 주시는 편입니다.,서강휘
교수님이 신부라서 놀랐다 ㅎㅅㅎ,서강휘
 참고로 논어 들을꺼면 이 교수님 수업 추천한다!! 과제는 논어 에세이랑 독후감 그리고 조별발표인데 논어 에세이가 중간대체과제라 요거를 ㅈㄴ 빡세게 쓰고 나머지는 10점정도라 기말과 에세이를 잘 봐야한다.  아 첨언을 하자면 신부님이라 그런지 정치적색깔이 약간 있으시다!! 근데 거북할 정도는 아니니 ㄱㅊ다!!,서강휘
정치적 의견을 많이 표출하시지만 굉장히 인간미 넘치시는 교수님이세요 ,서강휘
그러나 과제와 시험으로 다 판단하시는 것 같은데,서강휘
기준을 말씀을 안해주셔서 어떻게 점수를 내시는지는 모르겠습니다,서강휘
수업시간 다 채운적 한번도 없고,서강휘
그러나 굉장히 좋으신분!,서강휘
기말이 너무 쉬웠는데 그거 하나로 다 정해지고 레포트도 교수님 주관으로 채점해서 학점 예상을 못해요.,서강휘
그냥 단순암기해서 시험치시는걸 선호하시면 절대 듣지 마세요,서강휘
1. 교수님 성격 좋으심. 정말 좋으심. ,서강휘
